,Series_Title,Released_Year,Runtime
0,The Shawshank Redemption,1994,142 min
1,The Godfather,1972,175 min
2,The Dark Knight,2008,152 min
3,The Godfather: Part II,1974,202 min
4,12 Angry Men,1957,96 min
5,The Lord of the Rings: The Return of the King,2003,201 min
6,Pulp Fiction,1994,154 min
7,Schindler's List,1993,195 min
8,Inception,2010,148 min
9,Fight Club,1999,139 min
10,The Lord of the Rings: The Fellowship of the Ring,2001,178 min
11,Forrest Gump,1994,142 min
12,"Il buono, il brutto, il cattivo",1966,161 min
13,The Lord of the Rings: The Two Towers,2002,179 min
14,The Matrix,1999,136 min
15,Goodfellas,1990,146 min
16,Star Wars: Episode V - The Empire Strikes Back,1980,124 min
17,One Flew Over the Cuckoo's Nest,1975,133 min
18,Hamilton,2020,160 min
19,Gisaengchung,2019,132 min
20,Soorarai Pottru,2020,153 min
21,Interstellar,2014,169 min
22,Cidade de Deus,2002,130 min
23,Sen to Chihiro no kamikakushi,2001,125 min
24,Saving Private Ryan,1998,169 min
25,The Green Mile,1999,189 min
26,La vita è bella,1997,116 min
27,Se7en,1995,127 min
28,The Silence of the Lambs,1991,118 min
29,Star Wars,1977,121 min
30,Seppuku,1962,133 min
31,Shichinin no samurai,1954,207 min
32,It's a Wonderful Life,1946,130 min
33,Joker,2019,122 min
34,Whiplash,2014,106 min
35,The Intouchables,2011,112 min
36,The Prestige,2006,130 min
37,The Departed,2006,151 min
38,The Pianist,2002,150 min
39,Gladiator,2000,155 min
40,American History X,1998,119 min
41,The Usual Suspects,1995,106 min
42,Léon,1994,110 min
43,The Lion King,1994,88 min
44,Terminator 2: Judgment Day,1991,137 min
45,Nuovo Cinema Paradiso,1988,155 min
46,Hotaru no haka,1988,89 min
47,Back to the Future,1985,116 min
48,Once Upon a Time in the West,1968,165 min
49,Psycho,1960,109 min
50,Casablanca,1942,102 min
51,Modern Times,1936,87 min
52,City Lights,1931,87 min
53,Capharnaüm,2018,126 min
54,Ayla: The Daughter of War,2017,125 min
55,Vikram Vedha,2017,147 min
56,Kimi no na wa.,2016,106 min
57,Dangal,2016,161 min
58,Spider-Man: Into the Spider-Verse,2018,117 min
59,Avengers: Endgame,2019,181 min
60,Avengers: Infinity War,2018,149 min
61,Coco,2017,105 min
62,Django Unchained,2012,165 min
63,The Dark Knight Rises,2012,164 min
64,3 Idiots,2009,170 min
65,Taare Zameen Par,2007,165 min
66,WALL·E,2008,98 min
67,The Lives of Others,2006,137 min
68,Oldeuboi,2003,101 min
69,Memento,2000,113 min
70,Mononoke-hime,1997,134 min
71,Once Upon a Time in America,1984,229 min
72,Raiders of the Lost Ark,1981,115 min
73,The Shining,1980,146 min
74,Apocalypse Now,1979,147 min
75,Alien,1979,117 min
76,Anand,1971,122 min
77,Tengoku to jigoku,1963,143 min
78,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95 min
79,Witness for the Prosecution,1957,116 min
80,Paths of Glory,1957,88 min
81,Rear Window,1954,112 min
82,Sunset Blvd.,1950,110 min
83,The Great Dictator,1940,125 min
84,1917,2019,119 min
85,Tumbbad,2018,104 min
86,Andhadhun,2018,139 min
87,Drishyam,2013,160 min
88,Jagten,2012,115 min
89,Jodaeiye Nader az Simin,2011,123 min
90,Incendies,2010,131 min
91,Miracle in cell NO.7,2019,132 min
92,Babam ve Oglum,2005,112 min
93,Inglourious Basterds,2009,153 min
94,Eternal Sunshine of the Spotless Mind,2004,108 min
95,Amélie,2001,122 min
96,Snatch,2000,104 min
97,Requiem for a Dream,2000,102 min
98,American Beauty,1999,122 min
99,Good Will Hunting,1997,126 min
100,Bacheha-Ye aseman,1997,89 min
101,Toy Story,1995,81 min
102,Braveheart,1995,178 min
103,Reservoir Dogs,1992,99 min
104,Full Metal Jacket,1987,116 min
105,Idi i smotri,1985,142 min
106,Aliens,1986,137 min
107,Amadeus,1984,160 min
108,Scarface,1983,170 min
109,Star Wars: Episode VI - Return of the Jedi,1983,131 min
110,Das Boot,1981,149 min
111,Taxi Driver,1976,114 min
112,The Sting,1973,129 min
113,A Clockwork Orange,1971,136 min
114,2001: A Space Odyssey,1968,149 min
115,Per qualche dollaro in più,1965,132 min
116,Lawrence of Arabia,1962,228 min
117,The Apartment,1960,125 min
118,North by Northwest,1959,136 min
119,Vertigo,1958,128 min
120,Singin' in the Rain,1952,103 min
121,Ikiru,1952,143 min
122,Ladri di biciclette,1948,89 min
123,Double Indemnity,1944,107 min
124,Citizen Kane,1941,119 min
125,M - Eine Stadt sucht einen Mörder,1931,117 min
126,Metropolis,1927,153 min
127,The Kid,1921,68 min
128,Chhichhore,2019,143 min
129,Uri: The Surgical Strike,2018,138 min
130,K.G.F: Chapter 1,2018,156 min
131,Green Book,2018,130 min
132,"Three Billboards Outside Ebbing, Missouri",2017,115 min
133,Talvar,2015,132 min
134,Baahubali 2: The Conclusion,2017,167 min
135,Klaus,2019,96 min
136,Drishyam,2015,163 min
137,Queen,2013,146 min
138,Mandariinid,2013,87 min
139,Bhaag Milkha Bhaag,2013,186 min
140,Gangs of Wasseypur,2012,321 min
141,Udaan,2010,134 min
142,Paan Singh Tomar,2012,135 min
143,El secreto de sus ojos,2009,129 min
144,Warrior,2011,140 min
145,Shutter Island,2010,138 min
146,Up,2009,96 min
147,The Wolf of Wall Street,2013,180 min
148,Chak De! India,2007,153 min
149,There Will Be Blood,2007,158 min
150,Pan's Labyrinth,2006,118 min
151,Toy Story 3,2010,103 min
152,V for Vendetta,2005,132 min
153,Rang De Basanti,2006,167 min
154,Black,2005,122 min
155,Batman Begins,2005,140 min
156,"Swades: We, the People",2004,210 min
157,Der Untergang,2004,156 min
158,Hauru no ugoku shiro,2004,119 min
159,A Beautiful Mind,2001,135 min
160,Hera Pheri,2000,156 min
161,"Lock, Stock and Two Smoking Barrels",1998,107 min
162,L.A. Confidential,1997,138 min
163,Eskiya,1996,128 min
164,Heat,1995,170 min
165,Casino,1995,178 min
166,Andaz Apna Apna,1994,160 min
167,Unforgiven,1992,130 min
168,Indiana Jones and the Last Crusade,1989,127 min
169,Dom za vesanje,1988,142 min
170,Tonari no Totoro,1988,86 min
171,Die Hard,1988,132 min
172,Ran,1985,162 min
173,Raging Bull,1980,129 min
174,Stalker,1979,162 min
175,Höstsonaten,1978,99 min
176,The Message,1976,177 min
177,Sholay,1975,204 min
178,Monty Python and the Holy Grail,1975,91 min
179,The Great Escape,1963,172 min
180,To Kill a Mockingbird,1962,129 min
181,Yôjinbô,1961,110 min
182,Judgment at Nuremberg,1961,179 min
183,Some Like It Hot,1959,121 min
184,Smultronstället,1957,91 min
185,Det sjunde inseglet,1957,96 min
186,Du rififi chez les hommes,1955,118 min
187,Dial M for Murder,1954,105 min
188,Tôkyô monogatari,1953,136 min
189,Rashômon,1950,88 min
190,All About Eve,1950,138 min
191,The Treasure of the Sierra Madre,1948,126 min
192,To Be or Not to Be,1942,99 min
193,The Gold Rush,1925,95 min
194,Sherlock Jr.,1924,45 min
195,Portrait de la jeune fille en feu,2019,122 min
196,Pink,2016,136 min
197,Koe no katachi,2016,130 min
198,Contratiempo,2016,106 min
199,Ah-ga-ssi,2016,145 min
